sex,age,tot_pop,us_cit_tot_pop,us_cit_rep_reg_num,us_cit_rep_reg_pct,us_cit_rep_nr_num,us_cit_rep_nr_pct,us_cit_nr_num,us_cit_nr_pct,us_cit_vote_yes_num,us_cit_vote_yes_pct,us_cit_vote_no_num,us_cit_vote_no_pct,us_cit_vote_nr_num,us_cit_vote_nr_pct,us_tot_rep_reg_pct,us_tot_rep_vote_yes_pct
FEMALE,36 years,"2,162","1,882","1,409",74.9,225,12,248,13.2,"1,264",67.2,368,19.5,250,13.3,65.2,58.5
FEMALE,37 years,"2,300","2,030","1,556",76.7,246,12.1,228,11.2,"1,337",65.9,473,23.3,220,10.8,67.6,58.1
FEMALE,38 years,"2,399","2,086","1,548",74.2,179,8.6,359,17.2,"1,381",66.2,340,16.3,365,17.5,64.5,57.6
FEMALE,39 years,"2,265","1,859","1,371",73.7,248,13.3,240,12.9,"1,210",65.1,394,21.2,255,13.7,60.5,53.4
FEMALE,40 years,"2,275","1,984","1,517",76.4,248,12.5,219,11,"1,334",67.2,446,22.5,204,10.3,66.7,58.6
FEMALE,41 years,"2,080","1,850","1,440",77.8,171,9.3,239,12.9,"1,298",70.1,334,18,219,11.8,69.2,62.4
FEMALE,42 years,"2,118","1,833","1,375",75,173,9.5,285,15.6,"1,178",64.3,380,20.7,275,15,64.9,55.6
FEMALE,43 years,"2,124","1,820","1,400",76.9,196,10.8,224,12.3,"1,218",66.9,358,19.7,245,13.4,65.9,57.3
FEMALE,44 years,"2,393","2,094","1,552",74.1,236,11.3,306,14.6,"1,361",65,422,20.2,311,14.8,64.9,56.9
FEMALE,45 years,"2,102","1,840","1,501",81.6,158,8.6,180,9.8,"1,330",72.3,321,17.5,188,10.2,71.4,63.3
FEMALE,46 years,"2,052","1,821","1,461",80.2,183,10,177,9.7,"1,329",73,332,18.2,160,8.8,71.2,64.8
FEMALE,47 years,"2,068","1,837","1,405",76.5,135,7.3,297,16.2,"1,226",66.8,318,17.3,292,15.9,67.9,59.3
FEMALE,48 years,"2,045","1,802","1,405",78,141,7.8,256,14.2,"1,257",69.8,273,15.1,272,15.1,68.7,61.5
FEMALE,49 years,"1,844","1,584","1,218",76.9,127,8,240,15.1,"1,093",69,255,16.1,236,14.9,66,59.2
FEMALE,50 years,"2,054","1,827","1,383",75.7,187,10.2,257,14.1,"1,268",69.4,310,17,249,13.6,67.3,61.7
FEMALE,51 years,"1,908","1,649","1,326",80.4,114,6.9,208,12.6,"1,214",73.6,226,13.7,209,12.7,69.5,63.6
FEMALE,52 years,"1,924","1,715","1,324",77.2,158,9.2,233,13.6,"1,198",69.9,279,16.3,238,13.9,68.8,62.3
FEMALE,53 years,"2,080","1,895","1,449",76.5,209,11.1,236,12.5,"1,304",68.8,370,19.5,221,11.7,69.7,62.7
FEMALE,54 years,"2,198","2,043","1,628",79.7,141,6.9,274,13.4,"1,502",73.5,269,13.2,272,13.3,74.1,68.3
FEMALE,55 years,"2,016","1,847","1,478",80,107,5.8,263,14.2,"1,332",72.1,245,13.3,270,14.6,73.3,66.1
FEMALE,56 years,"1,933","1,777","1,401",78.8,163,9.2,213,12,"1,310",73.7,254,14.3,213,12,72.5,67.8
FEMALE,57 years,"1,935","1,750","1,332",76.1,157,9,261,14.9,"1,201",68.7,258,14.8,290,16.6,68.8,62.1
FEMALE,58 years,"2,041","1,851","1,454",78.6,164,8.8,233,12.6,"1,367",73.9,280,15.1,203,11,71.2,67
FEMALE,59 years,"2,251","2,132","1,658",77.8,183,8.6,291,13.7,"1,506",70.6,331,15.5,296,13.9,73.6,66.9
FEMALE,60 years,"2,107","1,946","1,491",76.6,165,8.5,289,14.9,"1,361",70,315,16.2,269,13.8,70.8,64.6
FEMALE,61 years,"2,310","2,154","1,673",77.6,137,6.4,345,16,"1,527",70.9,302,14,324,15.1,72.4,66.1
FEMALE,62 years,"2,123","1,947","1,560",80.1,148,7.6,239,12.3,"1,446",74.3,245,12.6,255,13.1,73.5,68.1
FEMALE,63 years,"2,054","1,905","1,533",80.5,150,7.9,222,11.6,"1,381",72.5,289,15.2,234,12.3,74.6,67.2
FEMALE,64 years,"2,247","2,160","1,676",77.6,193,8.9,291,13.5,"1,566",72.5,318,14.7,276,12.8,74.6,69.7
FEMALE,65 years,"1,940","1,843","1,472",79.9,100,5.4,270,14.7,"1,388",75.3,187,10.2,267,14.5,75.9,71.6
FEMALE,66 years,"1,987","1,900","1,585",83.4,111,5.8,204,10.7,"1,496",78.7,205,10.8,199,10.5,79.8,75.3
FEMALE,67 years,"2,048","1,946","1,553",79.8,155,8,238,12.2,"1,444",74.2,255,13.1,246,12.7,75.8,70.5
FEMALE,68 years,"2,002","1,921","1,530",79.7,124,6.5,266,13.9,"1,432",74.5,224,11.7,265,13.8,76.4,71.5
FEMALE,69 years,"2,023","1,931","1,506",78,202,10.4,224,11.6,"1,409",73,301,15.6,221,11.4,74.4,69.7
FEMALE,70 years,"1,853","1,777","1,438",80.9,148,8.3,191,10.7,"1,334",75.1,250,14.1,192,10.8,77.6,72
FEMALE,71 years,"1,964","1,909","1,512",79.2,128,6.7,269,14.1,"1,427",74.8,235,12.3,246,12.9,77,72.7
FEMALE,72 years,"1,687","1,622","1,322",81.5,107,6.6,192,11.8,"1,261",77.8,171,10.6,189,11.7,78.4,74.8
FEMALE,73 years,"1,572","1,522","1,275",83.8,72,4.7,174,11.5,"1,193",78.4,162,10.6,167,11,81.1,75.9
FEMALE,74 years,"1,610","1,560","1,309",83.9,89,5.7,162,10.4,"1,195",76.6,203,13,162,10.4,81.3,74.2
FEMALE,75 years,"1,532","1,465","1,171",79.9,112,7.6,182,12.4,"1,088",74.3,208,14.2,169,11.5,76.4,71
FEMALE,76 years,"1,434","1,372","1,123",81.8,79,5.7,171,12.4,"1,062",77.4,143,10.4,167,12.2,78.3,74.1
FEMALE,77 years,"1,463","1,413","1,177",83.3,78,5.6,157,11.1,"1,109",78.5,150,10.6,154,10.9,80.5,75.8
FEMALE,78 years,"1,188","1,139",946,83,61,5.4,132,11.6,843,74,177,15.5,119,10.5,79.7,71
FEMALE,79 years,906,877,694,79.1,69,7.9,114,13,617,70.4,164,18.7,96,10.9,76.6,68.1
FEMALE,80-84 years,"3,975","3,817","3,034",79.5,274,7.2,510,13.4,"2,765",72.4,578,15.1,475,12.4,76.3,69.6
FEMALE,85 years and over,"3,674","3,503","2,599",74.2,343,9.8,561,16,"2,318",66.2,668,19.1,517,14.8,70.7,63.1
